url,nat,cap
/titanic-victim/david-charters.html,Irish,Dublin
/titanic-victim/patrick-colbert.html,Irish,Dublin
/titanic-victim/michael-connaughton.html,Irish,Dublin
/titanic-survivor/kate-connolly.html,Irish,Dublin
/titanic-victim/kate-connolly-2.html,Irish,Dublin
/titanic-victim/patrick-connors.html,Irish,Dublin
/titanic-survivor/helen-corr.html,Irish,Dublin
/titanic-survivor/eugene-patrick-daly.html,Irish,Dublin
/titanic-survivor/maggie-daly.html,Irish,Dublin
/titanic-survivor/margaret-devaney.html,Irish,Dublin
/titanic-victim/william-john-dougherty.html,Irish,Dublin
/titanic-victim/bridget-donohoe.html,Irish,Dublin
/titanic-victim/patrick-dooley.html,Irish,Dublin
/titanic-victim/elizabeth-doyle.html,Irish,Dublin
/titanic-survivor/bridget-driscoll.html,Irish,Dublin
/titanic-victim/frank-dwan.html,Irish,Dublin
/titanic-victim/jim-farrell.html,Irish,Dublin
/titanic-victim/honora-fleming.html,Irish,Dublin
/titanic-victim/john-flynn.html,Irish,Dublin
/titanic-victim/james-flynn.html,Irish,Dublin
/titanic-victim/william-foley.html,Irish,Dublin
/titanic-victim/joseph-foley.html,Irish,Dublin
/titanic-victim/patrick-fox.html,Irish,Dublin
/titanic-victim/martin-gallagher.html,Irish,Dublin
/titanic-survivor/katie-gilnagh.html,Irish,Dublin
/titanic-survivor/mary-agatha-glynn.html,Irish,Dublin
/titanic-victim/kate-hargadon.html,Irish,Dublin
/titanic-victim/henry-hart.html,Irish,Dublin
/titanic-survivor/hanora-nora-healy.html,Irish,Dublin
/titanic-victim/hanora-nora-hegarty.html,Irish,Dublin
/titanic-victim/bridget-delia-henry.html,Irish,Dublin
/titanic-victim/john-nee-landers-horgan.html,Irish,Dublin
/titanic-survivor/annie-jane-jermyn.html,Irish,Dublin
/titanic-victim/andrew-andy-keane.html,Irish,Dublin
/titanic-survivor/anna-katherine-kelly.html,Irish,Dublin
/titanic-survivor/mary-kelly.html,Irish,Dublin
/titanic-victim/james-kelly-2.html,Irish,Dublin
/titanic-survivor/john-kennedy.html,Irish,Dublin
/titanic-victim/john-kiernan.html,Irish,Dublin
/titanic-victim/philip-kiernan.html,Irish,Dublin
/titanic-victim/thomas-kilgannon.html,Irish,Dublin
/titanic-victim/patrick-lane.html,Irish,Dublin
/titanic-victim/denis-lennon.html,Irish,Dublin
/titanic-victim/michael-linehan.html,Irish,Dublin
/titanic-survivor/margaret-maggie-madigan.html,Irish,Dublin
/titanic-victim/bridget-delia-mahon.html,Irish,Dublin
/titanic-victim/mary-mangan.html,Irish,Dublin
/titanic-survivor/margaret-mannion.html,Irish,Dublin
/titanic-survivor/catherine-katie-mccarthy.html,Irish,Dublin
/titanic-survivor/thomas-joseph-mccormack.html,Irish,Dublin
/titanic-survivor/alice-mccoy.html,Irish,Dublin
/titanic-survivor/bernard-mccoy.html,Irish,Dublin
/titanic-survivor/agnes-mccoy.html,Irish,Dublin
/titanic-survivor/bridget-delia-mcdermott.html,Irish,Dublin
/titanic-victim/michael-mcevoy.html,Irish,Dublin
/titanic-survivor/mary-mcgovern.html,Irish,Dublin
/titanic-victim/catherine-mcgowan.html,Irish,Dublin
/titanic-victim/martin-mcmahon.html,Irish,Dublin
/titanic-victim/neal-mcnamee.html,Irish,Dublin
/titanic-victim/bridget-mcneill.html,Irish,Dublin
/titanic-victim/john-meehan.html,Irish,Dublin
/titanic-victim/robert-mernagh.html,Irish,Dublin
/titanic-survivor/ellen-mary-mockler.html,Irish,Dublin
/titanic-victim/daniel-james-moran.html,Irish,Dublin
/titanic-survivor/bertha-bridget-moran.html,Irish,Dublin
/titanic-victim/thomas-rowan-morrow.html,Irish,Dublin
/titanic-victim/mary-lennon-mullin.html,Irish,Dublin
/titanic-survivor/catherine-mullin.html,Irish,Dublin
/titanic-survivor/bridget-mulvihill.html,Irish,Dublin
/titanic-survivor/catherine-kate-murphy.html,Irish,Dublin
